Company,Ticker,CIK,Sector
3M,MMM,66740,Industrials
A. O. Smith,AOS,91142,Industrials
AES Corporation,AES,874761,Utilities
APA Corporation,APA,1841666,Energy
AT&T,T,732717,Communication Services
AbbVie,ABBV,1551152,Health Care
Abbott Laboratories,ABT,1800,Health Care
Abiomed,ABMD,815094,
Accenture,ACN,1467373,Information Technology
Activision Blizzard,ATVI,718877,
Adobe Inc.,ADBE,796343,Information Technology
Advance Auto Parts,AAP,1158449,
Advanced Micro Devices,AMD,2488,Information Technology
Agilent Technologies,A,1090872,Health Care
Air Products,APD,2969,Materials
Akamai Technologies,AKAM,1086222,Information Technology
Alaska Air Group,ALK,766421,
Albemarle Corporation,ALB,915913,Materials
Alexandria Real Estate Equities,ARE,1035443,Real Estate
Alexion Pharmaceuticals,ALXN,899866,
Align Technology,ALGN,1097149,Health Care
Allegion,ALLE,1579241,Industrials
Alliant Energy,LNT,352541,Utilities
Alphabet Inc. (Class A),GOOGL,1652044,Communication Services
Alphabet Inc. (Class C),GOOG,1652044,Communication Services
Altria,MO,764180,Consumer Staples
Amazon,AMZN,1018724,Consumer Discretionary
Amcor,AMCR,1748790,Materials
Ameren,AEE,1002910,Utilities
American Airlines Group,AAL,6201,
American Electric Power,AEP,4904,Utilities
American Tower,AMT,1053507,Real Estate
American Water Works,AWK,1410636,Utilities
Ametek,AME,1037868,Industrials
Amgen,AMGN,318154,Health Care
Amphenol,APH,820313,Information Technology
Analog Devices,ADI,6281,Information Technology
Ansys,ANSS,1013462,Information Technology
Apple Inc.,AAPL,320193,Information Technology
Applied Materials,AMAT,6951,Information Technology
Aptiv,APTV,1521332,Consumer Discretionary
Archer Daniels Midland,ADM,7084,Consumer Staples
Arista Networks,ANET,1596532,Information Technology
Atmos Energy,ATO,731802,Utilities
AutoZone,AZO,866787,Consumer Discretionary
Autodesk,ADSK,769397,Information Technology
Automatic Data Processing,ADP,8670,Industrials
AvalonBay Communities,AVB,915912,Real Estate
Avery Dennison,AVY,8818,Materials
"BXP, Inc.",BXP,1037540,Real Estate
Baker Hughes,BKR,1701605,Energy
Ball Corporation,BALL,9389,Materials
"Bath & Body Works, Inc.",BBWI,701985,
Baxter International,BAX,10456,Health Care
Becton Dickinson,BDX,10795,Health Care
Best Buy,BBY,764478,Consumer Discretionary
Bio-Rad Laboratories,BIO,12208,
Bio-Techne,TECH,842023,Health Care
Biogen,BIIB,875045,Health Care
Boeing,BA,12927,Industrials
Booking Holdings,BKNG,1075531,Consumer Discretionary
Boston Scientific,BSX,885725,Health Care
Bristol Myers Squibb,BMY,14272,Health Care
Broadcom,AVGO,1730168,Information Technology
Broadridge Financial Solutions,BR,1383312,Industrials
Brown–Forman,BF.B,14693,Consumer Staples
C.H. Robinson,CHRW,1043277,Industrials
CBRE Group,CBRE,1138118,Real Estate
CDW Corporation,CDW,1402057,Information Technology
CF Industries,CF,1324404,Materials
CMS Energy,CMS,811156,Utilities
CSX Corporation,CSX,277948,Industrials
CVS Health,CVS,64803,Health Care
Cadence Design Systems,CDNS,813672,Information Technology
Caesars Entertainment,CZR,1590895,Consumer Discretionary
Campbell's Company (The),CPB,16732,Consumer Staples
CarMax,KMX,1170010,Consumer Discretionary
Cardinal Health,CAH,721371,Health Care
Carnival,CCL,815097,Consumer Discretionary
Carrier,CARR,1783180,
Carrier Global,CARR,1783180,Industrials
Catalent,CTLT,1596783,
Caterpillar Inc.,CAT,18230,Industrials
Celanese,CE,1306830,
Cencora,COR,1140859,Health Care
Centene Corporation,CNC,1071739,Health Care
CenterPoint Energy,CNP,1130310,Utilities
Ceridian,CDAY,1124887,
Cerner,CERN,804753,
Charles River Laboratories,CRL,1100682,Health Care
Charter Communications,CHTR,1091667,Communication Services
Chevron Corporation,CVX,93410,Energy
Chipotle Mexican Grill,CMG,1058090,Consumer Discretionary
Church & Dwight,CHD,313927,Consumer Staples
Cigna,CI,1739940,Health Care
Cintas,CTAS,723254,Industrials
Cisco,CSCO,858877,Information Technology
Citrix Systems,CTXS,877890,
Clorox,CLX,21076,Consumer Staples
Coca-Cola Company (The),KO,21344,Consumer Staples
Cognizant,CTSH,1058290,Information Technology
Colgate-Palmolive,CL,21665,Consumer Staples
Comcast,CMCSA,1166691,Communication Services
Conagra Brands,CAG,23217,Consumer Staples
Concho Resources,CXO,1358071,
